eo_code,valid_from,operation_start_date
100000019675,2/1/2020,2/1/2020
100000019676,2/1/2020,2/1/2020
100000019677,2/1/2020,2/1/2020
100000019678,2/1/2020,2/1/2020
100000019680,3/9/2021,2/2/2020
100000019681,2/2/2020,2/2/2020
100000019682,3/9/2021,2/2/2020
100000019683,4/24/2021,2/2/2020
100000019684,3/9/2021,2/2/2020
100000019685,2/2/2020,2/2/2020
100000019687,2/2/2020,2/2/2020
100000019688,2/2/2020,2/2/2020
100000019690,3/5/2020,1/22/2020
100000019691,2/2/2020,2/2/2020
100000019692,7/4/2021,2/2/2020
100000019693,9/26/2020,1/1/2019
100000019694,9/26/2020,1/1/2019
100000019695,9/26/2020,1/1/2019
100000019696,9/26/2020,1/1/2019
100000019697,9/26/2020,1/1/2019
100000019698,9/26/2020,1/1/2019
100000019699,9/26/2020,1/1/2019
100000019700,9/26/2020,1/1/2019
100000019701,9/26/2020,1/1/2019
100000019702,9/26/2020,1/1/2019
100000019703,9/26/2020,1/1/2019
100000019704,9/26/2020,1/1/2019
100000019705,9/26/2020,1/1/2019
100000019706,2/13/2020,2/2/2020
100000019707,2/13/2020,2/2/2020
100000019708,2/13/2020,2/2/2020
100000019709,2/2/2020,2/2/2020
100000019710,9/26/2020,1/1/2019
100000019711,9/26/2020,1/1/2019
100000019712,9/26/2020,1/1/2019
100000019713,9/26/2020,1/1/2019
100000019714,9/26/2020,1/1/2019
100000019715,11/25/2020,2/2/2020
100000019716,11/25/2020,2/2/2020
100000019717,1/24/2020,1/24/2020
100000019718,2/6/2022,1/24/2020
100000019719,2/6/2022,1/24/2020
100000019720,1/24/2020,1/24/2020
100000019721,1/24/2020,1/24/2020
100000019722,10/31/2021,1/24/2020
100000019723,11/27/2021,1/24/2020
100000019724,1/24/2020,1/24/2020
100000019725,9/5/2020,1/20/2020
100000019726,2/21/2021,2/2/2020
100000019727,2/21/2021,2/2/2020
100000019728,5/14/2021,2/2/2020
100000019731,2/3/2020,2/3/2020
100000019732,2/3/2020,2/3/2020
100000019733,2/3/2020,2/3/2020
100000019734,2/3/2020,2/3/2020
100000019735,2/3/2020,2/3/2020
100000019736,2/3/2020,2/3/2020
100000019737,2/3/2020,2/3/2020
100000019738,5/19/2021,2/3/2020
100000019739,10/7/2020,2/3/2020
100000019743,2/3/2020,2/3/2020
100000019744,2/3/2020,2/3/2020
100000019745,2/3/2020,2/3/2020
100000019746,2/3/2020,2/3/2020
100000019747,4/1/2020,1/11/2020
100000019748,2/3/2020,2/3/2020
100000019750,1/23/2020,1/23/2020
100000019751,11/25/2020,2/3/2020
100000019752,11/25/2020,2/3/2020
100000019753,5/25/2021,2/3/2020
100000019761,6/5/2020,2/4/2020
100000019763,6/5/2020,2/4/2020
100000019764,6/5/2020,1/4/2020
100000019765,6/5/2020,1/4/2020
100000019766,6/5/2020,1/4/2020
100000019767,6/5/2020,1/4/2020
100000019768,2/4/2020,2/4/2020
100000019769,2/4/2020,2/4/2020
100000019770,4/18/2021,2/4/2020
100000019773,6/17/2021,2/4/2020
100000019774,2/4/2020,2/4/2020
100000019775,2/4/2020,2/4/2020
100000019776,11/25/2020,2/4/2020
100000019777,12/9/2020,2/4/2020
100000019778,2/4/2020,2/4/2020
100000019779,2/4/2020,2/4/2020
100000019780,2/4/2020,2/4/2020
100000019781,2/4/2020,2/4/2020
100000019797,6/5/2021,12/22/2019
100000019798,2/19/2021,12/22/2019
100000019799,9/28/2020,2/5/2020
100000019800,2/16/2021,2/5/2020
100000019801,3/9/2021,2/5/2020
100000019802,4/15/2021,2/5/2020
100000019803,3/30/2021,2/5/2020
100000019804,3/9/2021,2/5/2020
100000019805,2/5/2020,2/5/2020
100000019806,2/5/2020,2/5/2020
100000019807,2/5/2020,2/5/2020
100000019808,2/5/2020,2/5/2020
100000019809,2/5/2020,2/4/2020
100000019810,5/6/2020,2/5/2020
100000019811,5/6/2020,2/5/2020
100000019812,5/6/2020,2/5/2020
100000019813,5/6/2020,2/5/2020
100000019814,7/15/2021,2/5/2020
100000019815,2/3/2021,2/5/2020
100000019816,1/17/2022,2/5/2020
100000019817,8/18/2021,2/5/2020
100000019818,2/5/2020,2/5/2020
100000019819,4/7/2021,2/5/2020
100000019820,1/27/2020,1/27/2020
100000019821,9/11/2020,2/5/2020
100000019822,9/26/2020,2/5/2020
100000019823,10/7/2020,2/5/2020
100000019824,10/7/2020,2/5/2020
100000019825,10/7/2020,2/5/2020
100000019826,3/14/2021,1/27/2020
100000019827,2/18/2021,2/5/2020
100000019828,12/8/2020,2/5/2020
100000019829,10/7/2020,2/5/2020
100000019830,3/14/2021,1/27/2020
100000019831,2/22/2021,1/30/2020
100000019832,2/22/2021,1/30/2020
100000019833,2/22/2021,1/30/2020
100000019834,2/22/2021,1/30/2020
100000019835,2/5/2022,2/6/2020
100000019836,2/5/2022,2/6/2020
100000019837,9/22/2020,1/1/2019
100000019838,9/22/2020,1/1/2019
100000019839,9/22/2020,1/1/2019
100000019840,12/31/2020,1/1/2019
100000019841,12/31/2020,1/1/2019
100000019842,12/31/2020,1/1/2019
100000019843,8/21/2021,1/1/2019
100000019844,2/6/2020,3/1/2019
100000019845,5/14/2021,2/6/2020
100000019846,8/13/2021,2/6/2020
100000019847,6/8/2021,2/6/2020
100000019848,2/6/2020,2/6/2020
100000019849,8/21/2021,2/6/2020
100000019850,2/3/2021,2/6/2020
100000019851,2/6/2020,2/6/2020
100000019852,2/6/2020,2/6/2020
100000019853,2/6/2020,2/6/2020
100000019854,2/6/2020,2/6/2020
100000019855,2/23/2021,2/6/2020
100000019856,2/23/2021,2/6/2020
100000019857,2/6/2020,2/6/2020
100000019858,4/6/2021,2/6/2020
100000019859,4/6/2021,2/6/2020
100000019860,9/22/2020,8/1/2019
100000019861,9/22/2020,8/1/2019
100000019862,6/28/2020,8/1/2019
100000019863,6/28/2020,8/1/2019
100000019864,6/28/2020,8/1/2019
100000019865,7/5/2020,8/1/2019
100000019866,8/2/2020,2/6/2020
100000019867,7/5/2020,2/6/2020
100000019868,9/15/2021,2/6/2020
100000019869,5/17/2021,2/6/2020
100000019870,2/6/2020,2/6/2020
100000019875,8/7/2021,2/6/2020
100000019876,7/15/2021,2/6/2020
100000019877,2/13/2020,2/6/2020
100000019878,10/16/2020,2/6/2020
100000019879,10/16/2020,2/6/2020
100000019880,10/16/2020,2/6/2020
100000019881,10/16/2020,2/6/2020
100000019882,10/16/2020,2/6/2020
100000019883,2/13/2020,2/6/2020
100000019884,2/13/2020,2/6/2020
100000019885,2/13/2020,2/6/2020
100000019886,2/6/2020,2/6/2020
100000019887,2/6/2020,2/6/2020
100000019888,9/22/2020,2/6/2020
100000019893,7/4/2021,2/6/2020
100000019894,2/6/2020,10/1/2019
100000019895,6/5/2020,2/6/2020
100000019896,3/9/2021,2/6/2020
100000019897,6/5/2021,2/5/2020
100000019898,2/6/2020,2/6/2020
100000019899,2/6/2020,2/6/2020
100000019900,2/6/2020,2/6/2020
100000019901,2/6/2020,2/6/2020
100000019902,2/6/2020,2/6/2020
100000019903,2/6/2020,2/6/2020
100000019904,2/6/2020,2/6/2020
100000019905,2/6/2020,2/6/2020
100000019906,2/6/2020,2/6/2020
100000019907,2/6/2020,2/6/2020
100000019908,2/6/2020,2/6/2020
100000019909,2/7/2020,2/7/2020
100000019927,5/23/2021,2/7/2020
100000019928,5/23/2021,2/7/2020
100000019929,3/16/2021,2/7/2020
100000019930,3/16/2021,2/7/2020
100000019931,2/7/2020,2/7/2020
100000019932,11/5/2021,2/7/2020
100000019933,10/22/2021,2/7/2020
100000019934,12/10/2020,2/7/2020
100000019935,2/7/2020,2/7/2020
100000019937,3/21/2021,2/7/2020
100000019938,3/9/2021,2/7/2020
100000019939,10/26/2021,2/7/2020
100000019949,11/29/2020,2/7/2020
100000019950,3/17/2021,2/7/2020
100000019951,3/9/2021,2/7/2020
100000019952,2/4/2022,2/7/2020
100000019961,9/22/2020,2/8/2020
100000019962,7/16/2020,2/8/2020
100000019963,9/26/2020,1/1/2019
100000019964,2/8/2020,2/8/2020
100000019966,9/26/2020,1/1/2019
100000019967,1/19/2022,1/1/2019
100000019968,1/1/2019,1/1/2019
100000019969,1/1/2019,1/1/2019
100000019970,1/1/2019,1/1/2019
100000019971,2/3/2021,1/1/2019
100000019972,2/8/2020,2/8/2020
100000019973,2/8/2020,2/8/2020
100000019978,2/9/2020,2/9/2020
100000019979,2/9/2020,2/9/2020
100000019981,5/30/2021,2/9/2020
100000019982,5/30/2021,2/9/2020
100000019986,4/25/2020,2/10/2020
100000019987,2/10/2020,2/10/2020
100000019988,3/9/2021,2/10/2020
100000019989,10/29/2020,2/10/2020
100000019990,10/29/2020,2/10/2020
100000019991,6/18/2021,2/10/2020
100000019992,12/31/2020,2/11/2020
100000019994,2/11/2020,2/11/2020
100000019995,2/11/2020,2/11/2020
100000019996,12/30/2021,2/11/2020
100000019997,2/11/2020,2/11/2020
100000019998,2/11/2020,2/11/2020
100000019999,2/11/2020,2/11/2020
100000020000,12/6/2021,2/11/2020
100000020001,2/11/2020,2/11/2020
100000020002,2/11/2020,2/11/2020
100000020003,2/11/2020,2/11/2020
100000020004,2/11/2020,2/11/2020
100000020005,2/11/2020,2/11/2020
100000020006,2/11/2020,2/11/2020
100000020007,12/23/2020,2/12/2020
100000020008,10/21/2020,2/12/2020
100000020009,2/12/2020,2/12/2020
100000020010,9/26/2020,
100000020011,2/3/2021,10/18/2018
100000020012,3/9/2021,10/18/2018
100000020013,3/9/2021,10/18/2018
100000020014,3/9/2021,10/18/2018
100000020015,3/9/2021,10/18/2018
100000020016,11/1/2021,10/18/2018
100000020017,5/31/2021,10/18/2018
100000020018,5/31/2021,10/18/2018
100000020019,5/31/2021,10/18/2018
100000020020,7/25/2021,10/18/2018
100000020021,2/23/2020,11/24/2017
100000020022,3/9/2021,11/24/2017
100000020023,9/26/2020,11/24/2017
100000020024,3/23/2021,
100000020025,3/9/2021,11/27/2017
100000020026,3/9/2021,11/27/2017
100000020027,5/20/2021,11/27/2017
100000020028,3/23/2021,11/27/2017
100000020029,5/20/2021,11/27/2017
100000020030,5/20/2021,11/27/2017
100000020031,3/23/2021,11/27/2017
100000020032,3/23/2021,11/27/2017
100000020033,9/6/2021,4/23/2020
100000020034,3/9/2021,7/1/2019
100000020035,2/12/2020,1/1/2020
100000020036,3/9/2021,7/1/2019
100000020037,3/9/2021,7/1/2019
100000020038,3/9/2021,7/1/2019
100000020039,3/9/2021,7/1/2019
100000020040,9/6/2021,1/31/2018
100000020041,3/9/2021,7/1/2019
100000020042,8/12/2021,11/9/2020
100000020043,9/6/2021,
100000020044,5/31/2021,1/31/2018
100000020045,9/6/2021,1/31/2018
100000020046,5/31/2021,1/31/2018
100000020047,5/31/2021,1/31/2018
100000020048,9/15/2021,11/9/2020
100000020049,3/9/2021,7/1/2019
100000020050,7/22/2021,1/31/2018
100000020051,10/18/2020,1/31/2018
100000020052,3/9/2021,7/1/2019
100000020053,3/9/2021,7/1/2019
100000020054,3/9/2021,7/1/2019
100000020055,3/9/2021,7/1/2019
100000020056,6/22/2021,7/1/2019
100000020057,3/9/2021,7/1/2019
100000020058,3/9/2021,7/1/2019
100000020059,3/9/2021,7/1/2019
100000020060,3/9/2021,7/1/2019
100000020061,3/9/2021,7/1/2019
100000020062,3/9/2021,7/1/2019
100000020063,3/9/2021,7/1/2019
100000020064,3/9/2021,7/1/2019
100000020065,3/9/2021,7/1/2019
100000020066,3/9/2021,7/1/2019
100000020067,3/9/2021,7/1/2019
100000020068,3/9/2021,7/1/2019
100000020069,7/17/2021,1/1/2018
100000020070,3/9/2021,1/1/2018
100000020071,3/9/2021,1/1/2018
100000020072,3/9/2021,1/1/2018
100000020073,3/9/2021,1/1/2018
100000020074,3/9/2021,1/1/2018
100000020075,4/26/2020,1/1/2018
100000020076,4/26/2020,1/1/2018
100000020077,4/26/2020,1/1/2018
100000020078,4/18/2021,1/1/2018
100000020079,9/26/2020,1/1/2018
100000020080,6/19/2021,2/12/2020
100000020081,2/12/2020,2/12/2020
100000020082,3/9/2021,7/1/2019
100000020083,2/13/2020,2/13/2020
100000020084,3/17/2021,2/13/2020
100000020085,11/30/2020,2/13/2020
100000020086,2/23/2021,2/13/2020
100000020087,2/23/2021,2/13/2020
100000020088,2/23/2021,2/13/2020
100000020089,2/23/2021,2/13/2020
100000020090,2/23/2021,2/13/2020
100000020091,9/9/2020,2/13/2020
100000020092,2/23/2021,2/13/2020
100000020093,2/23/2021,2/13/2020
100000020094,2/23/2021,2/13/2020
100000020095,2/23/2021,2/13/2020
100000020096,2/23/2021,2/13/2020
100000020097,2/23/2021,2/13/2020
100000020098,2/23/2021,2/13/2020
100000020099,3/9/2021,7/1/2019
100000020100,3/9/2021,7/1/2019
100000020101,3/9/2021,7/1/2019
100000020102,3/9/2021,7/1/2019
100000020103,3/9/2021,7/1/2019
100000020104,3/9/2021,7/1/2019
100000020105,3/9/2021,7/1/2019
100000020106,3/9/2021,7/1/2019
100000020107,5/16/2021,7/1/2019
100000020108,9/26/2020,7/1/2019
100000020109,4/27/2020,7/1/2019
100000020110,3/9/2021,7/1/2019
100000020111,3/9/2021,7/1/2019
100000020112,3/9/2021,7/1/2019
100000020113,12/5/2020,7/1/2019
100000020114,3/9/2021,7/1/2019
100000020115,3/9/2021,7/1/2019
100000020116,3/9/2021,7/1/2019
100000020117,3/9/2021,7/1/2019
100000020118,3/9/2021,7/1/2019
100000020119,3/9/2021,7/1/2019
100000020120,5/20/2021,7/1/2019
100000020121,5/20/2021,7/1/2019
100000020122,7/20/2021,7/1/2019
100000020123,9/16/2021,7/1/2019
100000020124,9/16/2021,7/1/2019
100000020125,10/7/2021,7/1/2019
100000020126,11/15/2021,7/1/2019
100000020127,5/3/2021,7/1/2019
100000020128,5/3/2021,7/1/2019
100000020129,3/9/2021,7/1/2019
100000020130,3/9/2021,7/1/2019
100000020131,3/9/2021,7/1/2019
100000020132,5/8/2020,7/1/2019
100000020133,3/9/2021,7/1/2019
100000020134,5/2/2020,7/1/2019
100000020135,3/9/2021,7/1/2019
100000020136,3/9/2021,7/1/2019
100000020137,3/9/2021,7/1/2019
100000020138,3/9/2021,7/1/2019
100000020139,11/24/2020,7/1/2019
100000020140,9/26/2020,7/1/2019
100000020141,5/9/2020,7/1/2019
100000020142,5/9/2020,7/1/2019
100000020143,3/9/2021,7/1/2019
100000020144,3/9/2021,7/1/2019
100000020145,3/9/2021,7/1/2019
100000020146,3/9/2021,7/1/2019
100000020147,3/9/2021,7/1/2019
100000020148,3/9/2021,7/1/2019
100000020149,3/9/2021,7/1/2019
100000020150,12/5/2020,7/1/2019
100000020152,2/21/2021,1/1/2019
100000020153,2/21/2021,1/1/2019
100000020154,2/21/2021,1/1/2019
100000020155,2/21/2021,1/1/2019
100000020156,3/5/2020,1/1/2019
100000020157,3/5/2020,1/1/2019
100000020158,3/5/2020,1/1/2019
100000020159,3/5/2020,1/1/2019
100000020160,9/22/2020,1/1/2019
100000020161,9/22/2020,1/1/2019
100000020162,2/14/2020,2/14/2020
100000020163,6/16/2021,2/14/2020
100000020164,3/9/2021,2/14/2020
100000020165,3/13/2021,2/14/2020
100000020166,10/25/2021,2/14/2020
100000020167,11/6/2020,2/14/2020
100000020168,11/6/2020,2/14/2020
100000020169,4/12/2021,2/14/2020
100000020170,2/3/2021,2/14/2020
100000020171,11/27/2020,2/15/2020
100000020172,11/27/2020,2/15/2020
100000020173,6/24/2021,2/15/2020
100000020174,6/24/2021,2/15/2020
100000020175,2/3/2021,2/15/2020
100000020176,8/1/2021,2/15/2020
100000020177,9/26/2020,1/31/2020
100000020178,9/26/2020,1/31/2020
100000020179,10/19/2020,1/31/2020
100000020180,10/19/2020,
100000020181,10/19/2020,1/31/2020
100000020182,9/26/2020,6/12/2015
100000020183,9/26/2020,6/12/2015
100000020184,11/20/2021,6/12/2015
100000020185,9/11/2020,6/12/2015
100000020186,9/11/2020,6/12/2015
100000020187,2/15/2020,6/12/2015
100000020188,2/15/2020,6/12/2015
100000020189,10/30/2020,2/15/2020
100000020190,11/7/2020,2/15/2020
100000020191,2/15/2020,2/15/2020
100000020192,4/1/2021,2/15/2020
100000020193,9/26/2020,1/1/2020
100000020194,10/18/2020,2/16/2020
100000020195,10/18/2020,2/16/2020
100000020196,2/16/2020,2/16/2020
100000020197,2/16/2020,2/16/2020
100000020198,9/26/2020,12/23/2018
100000020199,9/26/2020,12/23/2018
100000020200,9/26/2020,12/23/2018
100000020201,9/26/2020,12/23/2018
100000020202,10/18/2020,12/23/2018
100000020203,7/22/2020,12/23/2018
100000020204,7/22/2020,12/23/2018
100000020205,7/22/2020,12/23/2018
100000020206,7/22/2020,12/23/2018
100000020207,9/11/2020,12/23/2018
100000020208,9/11/2020,12/23/2018
100000020209,2/28/2021,12/23/2018
100000020210,9/26/2020,12/23/2018
100000020211,9/26/2020,12/23/2018
100000020212,9/26/2020,12/23/2018
100000020213,9/26/2020,12/23/2018
100000020214,10/17/2020,12/23/2018
100000020215,9/26/2020,1/1/2011
100000020216,7/22/2020,1/1/2011
100000020217,9/26/2020,1/1/2011
100000020218,2/4/2021,1/1/2011
100000020219,10/4/2021,2/16/2020
100000020220,2/4/2021,1/1/2011
100000020221,11/28/2020,1/1/2011
100000020222,8/29/2020,7/17/2019
100000020223,2/3/2021,7/17/2019
100000020224,2/3/2021,7/17/2019
100000020225,4/18/2021,9/1/2019
100000020226,6/7/2021,9/1/2019
100000020227,2/4/2021,9/1/2019
100000020228,10/11/2020,9/1/2019
100000020229,3/13/2021,2/19/2019
100000020230,8/1/2021,2/19/2019
100000020231,6/26/2021,2/19/2019
100000020232,6/20/2021,2/19/2019
100000020233,2/16/2020,2/19/2019
100000020234,8/1/2021,2/19/2019
100000020235,9/12/2021,2/19/2019
100000020236,9/1/2021,2/19/2019
100000020237,9/1/2021,2/19/2019
100000020238,9/19/2021,2/19/2019
100000020239,9/1/2021,2/19/2019
100000020240,2/16/2020,2/19/2019
100000020241,9/20/2021,2/19/2019
100000020242,9/2/2021,2/19/2019
100000020243,5/24/2021,2/19/2019
100000020244,7/16/2021,2/19/2019
100000020245,8/8/2021,2/19/2019
100000020246,8/31/2021,2/19/2019
100000020247,8/31/2021,2/19/2019
100000020248,2/16/2020,2/19/2019
100000020249,2/16/2020,2/19/2019
100000020250,2/17/2020,2/17/2020
100000020267,11/10/2020,2/17/2020
100000020268,2/17/2020,2/17/2020
100000020269,2/17/2020,2/17/2020
100000020270,2/17/2020,2/17/2020
100000020271,2/17/2020,2/17/2020
100000020272,2/17/2020,2/17/2020
100000020273,2/16/2020,
100000020274,11/22/2020,
100000020287,10/22/2021,2/18/2020
100000020288,10/22/2021,2/18/2020
100000020289,11/12/2020,2/18/2020
100000020290,12/12/2021,2/18/2020
100000020291,12/12/2021,2/18/2020
100000020292,9/8/2021,2/18/2020
100000020293,5/8/2021,2/18/2020
100000020294,10/23/2021,2/19/2020
100000020295,4/20/2021,2/19/2020
100000020296,2/19/2020,2/19/2020
100000020297,2/19/2020,2/19/2020
100000020298,7/18/2021,2/20/2020
100000020299,1/29/2022,2/20/2020
100000020300,9/7/2021,2/20/2020
100000020301,2/20/2020,2/20/2020
100000020302,2/20/2020,2/20/2020
100000020328,7/16/2021,1/1/2020
100000020329,4/7/2021,1/1/2020
100000020330,7/11/2021,1/1/2020
100000020331,5/30/2021,1/1/2020
100000020332,10/6/2021,1/1/2020
100000020333,10/30/2021,1/1/2020
100000020334,10/6/2021,1/1/2020
100000020335,10/6/2021,1/17/2020
100000020336,10/6/2021,1/17/2020
100000020339,2/21/2020,12/15/2019
100000020350,7/24/2021,2/21/2020
100000020351,11/29/2020,2/21/2020
100000020352,11/30/2020,2/21/2020
100000020361,6/3/2021,2/22/2020
100000020362,2/22/2020,2/22/2020
100000020363,6/3/2021,2/22/2020
100000020364,2/22/2020,2/22/2020
100000020365,2/22/2020,2/22/2020
100000020371,8/8/2020,2/22/2020
100000020372,8/8/2020,2/22/2020
100000020373,7/7/2020,2/22/2020
100000020374,7/7/2020,2/22/2020
100000020375,2/22/2020,8/25/2019
100000020387,10/18/2020,2/22/2020
100000020388,10/18/2020,2/22/2020
100000020472,2/23/2020,2/23/2020
100000020473,2/19/2021,2/23/2020
100000020474,2/26/2020,12/3/2016
100000020475,2/23/2020,2/23/2020
100000020476,2/23/2020,2/23/2020
100000020477,2/23/2020,2/23/2020
100000020478,2/23/2020,2/23/2020
100000020479,2/23/2020,2/23/2020
100000020480,2/23/2020,2/23/2020
100000020481,2/23/2020,2/23/2020
100000020482,2/23/2020,2/23/2020
100000020483,9/22/2020,2/24/2020
100000020484,9/22/2020,2/24/2020
100000020486,9/26/2020,6/1/2019
100000020487,3/9/2021,7/2/2019
100000020488,3/9/2021,7/2/2019
100000020489,9/26/2020,7/10/2019
100000020490,9/26/2020,7/10/2019
100000020491,12/10/2020,8/1/2019
100000020492,10/7/2020,8/7/2019
100000020493,10/7/2020,8/7/2019
100000020494,12/1/2020,10/3/2019
100000020495,12/10/2020,10/3/2019
100000020496,2/24/2020,2/24/2020
100000020497,2/24/2020,2/24/2020
100000020498,10/18/2020,2/24/2020
100000020499,3/9/2021,2/24/2020
100000020500,2/25/2020,2/25/2020
100000020502,9/26/2020,1/16/2018
100000020503,4/29/2020,7/10/2018
100000020504,3/9/2021,9/1/2018
100000020505,4/29/2020,9/9/2018
100000020506,3/9/2021,9/9/2018
100000020507,3/9/2021,9/9/2018
100000020508,4/29/2020,9/9/2018
100000020509,3/9/2021,9/9/2018
100000020510,1/21/2021,5/3/2019
100000020511,2/25/2020,5/3/2019
100000020516,2/26/2020,12/3/2016
100000020517,2/26/2020,12/3/2016
100000020518,2/25/2020,2/25/2020
100000020520,2/25/2020,8/4/2019
100000020521,2/25/2020,8/4/2019
100000020522,2/25/2020,8/4/2019
100000020523,2/25/2020,8/4/2019
100000020524,2/25/2020,8/4/2019
100000020525,2/25/2020,8/4/2019
100000020526,2/25/2020,8/4/2019
100000020527,2/3/2021,8/4/2019
100000020529,2/25/2020,8/4/2019
100000020530,2/25/2020,8/4/2019
100000020531,2/25/2020,8/4/2019
100000020532,2/25/2020,8/4/2019
100000020533,2/25/2020,8/4/2019
100000020534,2/25/2020,8/4/2019
100000020535,2/25/2020,8/4/2019
100000020536,2/25/2020,8/4/2019
100000020538,6/11/2020,
100000020539,9/26/2020,10/17/2018
